,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree
0,ifDvzyCn,0.5,1.3000000000000007,1.5,0.25,0.8235294117647058,0.9642857142857143,20,8
1,ifDvzyCn,0.5,1.3000000000000007,1.5,0.25,0.7368421052631579,0.9642857142857143,20,8
2,ifDvzyCn,0.5,1.3000000000000007,1.5,0.2,0.631578947368421,0.9666666666666667,20,5
3,ifDvzyCn,0.5,1.3000000000000007,1.5,0.5,1.0,0.95,20,8
4,ifDvzyCn,0.5,1.3000000000000007,1.5,0.3076923076923077,0.8,0.9615384615384616,20,13
5,ifDvzyCn,0.5,1.3000000000000007,1.5,0.5555555555555556,1.1111111111111112,0.9444444444444444,20,9
6,ifDvzyCn,0.5,1.3000000000000007,1.5,0.4444444444444444,0.9473684210526315,0.9506172839506173,20,9
7,ifDvzyCn,0.5,1.3000000000000007,1.5,0.2,0.7,0.9714285714285714,20,5
8,ifDvzyCn,0.5,1.3000000000000007,1.5,0.42857142857142855,0.6666666666666666,0.9285714285714286,20,7
9,ifDvzyCn,0.5,1.3000000000000007,1.5,0.3333333333333333,1.1578947368421053,0.9696969696969697,20,9
0,GCiokFut,0.5,1.3500000000000008,1.5,0.25,0.8235294117647058,0.9642857142857143,20,8
1,GCiokFut,0.5,1.3500000000000008,1.5,0.42857142857142855,1.0526315789473684,0.9571428571428572,20,7
2,GCiokFut,0.5,1.3500000000000008,1.5,0.3333333333333333,0.8,0.9583333333333334,20,12
3,GCiokFut,0.5,1.3500000000000008,1.5,0.16666666666666666,1.0,0.9833333333333333,20,6
4,GCiokFut,0.5,1.3500000000000008,1.5,0.625,1.411764705882353,0.9479166666666666,20,8
5,GCiokFut,0.5,1.3500000000000008,1.5,0.5714285714285714,0.9473684210526315,0.9365079365079365,20,7
6,GCiokFut,0.5,1.3500000000000008,1.5,0.2222222222222222,0.7368421052631579,0.9682539682539683,20,9
7,GCiokFut,0.5,1.3500000000000008,1.5,0.4444444444444444,1.0526315789473684,0.9555555555555556,20,9
8,GCiokFut,0.5,1.3500000000000008,1.5,0.3333333333333333,0.8421052631578947,0.9583333333333334,20,9
9,GCiokFut,0.5,1.3500000000000008,1.5,0.25,1.1,0.9772727272727273,20,8
0,KYFoZIXY,0.5,1.4000000000000008,1.5,0.2857142857142857,0.8888888888888888,0.9642857142857143,20,7
1,KYFoZIXY,0.5,1.4000000000000008,1.5,0.4,1.1,0.9636363636363636,20,10
2,KYFoZIXY,0.5,1.4000000000000008,1.5,0.4444444444444444,1.0588235294117647,0.9506172839506173,20,9
3,KYFoZIXY,0.5,1.4000000000000008,1.5,0.0,0.631578947368421,1.0,20,5
4,KYFoZIXY,0.5,1.4000000000000008,1.5,0.5555555555555556,1.0526315789473684,0.9444444444444444,20,9
5,KYFoZIXY,0.5,1.4000000000000008,1.5,0.6666666666666666,1.1578947368421053,0.9393939393939394,20,6
6,KYFoZIXY,0.5,1.4000000000000008,1.5,0.125,0.7,0.9821428571428571,20,8
7,KYFoZIXY,0.5,1.4000000000000008,1.5,0.4444444444444444,1.0526315789473684,0.9555555555555556,20,9
8,KYFoZIXY,0.5,1.4000000000000008,1.5,0.3,0.8421052631578947,0.9625,20,10
9,KYFoZIXY,0.5,1.4000000000000008,1.5,0.5384615384615384,1.3333333333333333,0.9551282051282052,20,13
0,yDqlmUht,0.5,1.4500000000000008,1.5,0.4,0.8421052631578947,0.95,20,10
1,yDqlmUht,0.5,1.4500000000000008,1.5,0.42857142857142855,0.5263157894736842,0.9142857142857143,20,7
