,sim_id,p_SES_high,epsilon,rho,H_Share,Exposure,Friend_Bias,N_exposure,Degree,Network_SES_assortativity,Network_H_Share_H,Network_H_Share_L,Network_Degree,Network_Clustering,Predicted_H_Share,Predicted_Exposure,Predicted_Friend_Bias
1,YOfQTvwK,0.5,1.035105571101501,1.2827197097989786,0.1875,0.7,0.9732142857142857,20,16,0.08527383532859989,0.4273325215534377,0.3377344481670619,28.94,0.3375568626922511,0.3830727759511903,0.98275,0.12571998999999998
0,FmJHPWNZ,0.5,2.542017178783317,1.3029282163848446,0.3125,0.7777777777777778,0.9553571428571429,20,16,0.4217729499274309,0.7330506877164341,0.2965775169231622,29.14,0.3679294858848056,0.2166849995645577,0.56465,0.17858
1,FmJHPWNZ,0.5,2.542017178783317,1.3029282163848446,0.29411764705882354,0.8,0.9632352941176471,20,17,0.4217729499274309,0.7330506877164341,0.2965775169231622,29.14,0.3679294858848056,0.2166849995645577,0.56465,0.17858
0,xZIenzjq,0.5,2.1531319476306403,1.1920726040317633,0.3333333333333333,0.7368421052631579,0.9523809523809523,20,18,0.37105473927434846,0.7052290530573072,0.31871669658851126,30.08,0.3681674086495593,0.2660450285723952,0.63428998,0.11595000000000014
1,xZIenzjq,0.5,2.1531319476306403,1.1920726040317633,0.3333333333333333,0.8,0.9583333333333334,20,18,0.37105473927434846,0.7052290530573072,0.31871669658851126,30.08,0.3681674086495593,0.2660450285723952,0.63428998,0.11595000000000014
0,iXlqFtVZ,0.5,2.206412979867558,1.0423701922437436,0.2631578947368421,0.5263157894736842,0.9473684210526316,20,19,0.27326600408796653,0.6062461299052373,0.3123944118978987,31.12,0.3717881426218218,0.2991979119516806,0.62374997,0.02832999999999996
1,iXlqFtVZ,0.5,2.206412979867558,1.0423701922437436,0.25,0.5,0.95,20,20,0.27326600408796653,0.6062461299052373,0.3123944118978987,31.12,0.3717881426218218,0.2991979119516806,0.62374997,0.02832999999999996
0,XJxBNYnl,0.5,1.2048528568846217,1.2485974935908848,0.5,1.1,0.9545454545454546,20,18,0.13068421496667504,0.6533808265048063,0.5203686180384621,29.44,0.34184579027053325,0.3632435651425458,0.90709001,0.11960000000000005
1,XJxBNYnl,0.5,1.2048528568846217,1.2485974935908848,0.35,0.7,0.95,20,20,0.13068421496667504,0.6533808265048063,0.5203686180384621,29.44,0.34184579027053325,0.3632435651425458,0.90709001,0.11960000000000005
0,BJysdKxK,0.5,1.9542969377441892,1.104295921284297,0.15789473684210525,0.3157894736842105,0.9473684210526316,20,19,0.2612290286708891,0.6083594600437496,0.33631281792193857,31.2,0.37009690876391155,0.30652110858685033,0.67698002,0.06453999899999999
1,BJysdKxK,0.5,1.9542969377441892,1.104295921284297,0.10526315789473684,0.21052631578947367,0.9473684210526316,20,19,0.2612290286708891,0.6083594600437496,0.33631281792193857,31.2,0.37009690876391155,0.30652110858685033,0.67698002,0.06453999899999999
0,NgZMDurs,0.5,0.616644976679896,1.058946954603112,0.47368421052631576,0.9473684210526315,0.9473684210526316,20,19,-0.14512122045724493,0.3296438327203821,0.4797914331673767,31.04,0.3559096628476279,0.5841321865190453,1.23713,0.02198999899999993
1,NgZMDurs,0.5,0.616644976679896,1.058946954603112,0.35294117647058826,0.8421052631578947,0.9558823529411765,20,17,-0.14512122045724493,0.3296438327203821,0.4797914331673767,31.04,0.3559096628476279,0.5841321865190453,1.23713,0.02198999899999993
0,mKvHCJqf,0.5,3.184888280536329,1.2701405659380227,0.29411764705882354,0.7368421052631579,0.957983193277311,20,17,0.46092332048587886,0.6944857013310077,0.20698763481260818,29.64,0.3887077874020697,0.18813272436781614,0.47791001,0.17053001000000004
1,mKvHCJqf,0.5,3.184888280536329,1.2701405659380227,0.3333333333333333,0.7368421052631579,0.9523809523809523,20,18,0.46092332048587886,0.6944857013310077,0.20698763481260818,29.64,0.3887077874020697,0.18813272436781614,0.47791001,0.17053001000000004
0,NduFzqVd,0.5,3.404704321118449,1.3191738308574354,0.29411764705882354,0.6666666666666666,0.9509803921568627,20,17,0.45603750797557213,0.6947337825196725,0.21913538853445386,29.38,0.37139276992023534,0.17210013547072509,0.4540599900000001,0.19789
1,NduFzqVd,0.5,3.404704321118449,1.3191738308574354,0.0625,0.42105263157894735,0.984375,20,16,0.45603750797557213,0.6947337825196725,0.21913538853445386,29.38,0.37139276992023534,0.17210013547072509,0.4540599900000001,0.19789
0,qgYmwCVs,0.5,1.6840592993515502,1.213475810706386,0.3157894736842105,0.631578947368421,0.9473684210526316,20,19,0.23464992246322522,0.6448293650202443,0.3963974104578493,30.0,0.36271768194789167,0.30702714196100894,0.74514002,0.11812000000000004
1,qgYmwCVs,0.5,1.6840592993515502,1.213475810706386,0.29411764705882354,0.6666666666666666,0.9509803921568627,20,17,0.23464992246322522,0.6448293650202443,0.3963974104578493,30.0,0.36271768194789167,0.30702714196100894,0.74514002,0.11812000000000004
0,PkpEIEsm,0.5,3.6001335096748512,1.0889164523073316,0.2631578947368421,0.5263157894736842,0.9473684210526316,20,19,0.4785390729212982,0.7753301066679574,0.27326963839659063,30.48,0.39588375554434324,0.19963422771267497,0.43476999,0.06505999700000009
1,PkpEIEsm,0.5,3.6001335096748512,1.0889164523073316,0.2777777777777778,0.5555555555555556,0.9444444444444444,20,18,0.4785390729212982,0.7753301066679574,0.27326963839659063,30.48,0.39588375554434324,0.19963422771267497,0.43476999,0.06505999700000009
0,CpSOHZEJ,0.5,3.4824959541551825,1.2358341713851078,0.1111111111111111,0.3157894736842105,0.962962962962963,20,18,0.5149367873898654,0.7776735204832553,0.23492577150877306,29.62,0.3905220150690142,0.18051774272430376,0.44617999,0.15485001
1,CpSOHZEJ,0.5,3.4824959541551825,1.2358341713851078,0.16666666666666666,0.42105263157894735,0.9583333333333334,20,18,0.5149367873898654,0.7776735204832553,0.23492577150877306,29.62,0.3905220150690142,0.18051774272430376,0.44617999,0.15485001
