county,county_name,exposure_grp_mem_county,exposure_grp_mem_high_county,bias_grp_mem_county,bias_grp_mem_high_county
46045,"Edmunds, South Dakota",1.28789,1.4276201,0.0144,-0.11688
46047,"Fall River, South Dakota",0.97794002,1.11603,0.072420001,-0.16384
46049,"Faulk, South Dakota",1.26677,1.42276,-0.01205,-0.1214
46051,"Grant, South Dakota",1.23054,1.34939,0.1224,-0.13196
46053,"Gregory, South Dakota",0.95223999,1.13773,0.040649999,-0.15161
46055,"Haakon, South Dakota",0.91729999,1.11683,-0.0017,-0.12529001
46057,"Hamlin, South Dakota",1.28904,1.38994,-0.00844,-0.088260002
46059,"Hand, South Dakota",1.2427,1.31984,-0.02575,-0.10917
46061,"Hanson, South Dakota",1.31122,1.41583,-0.01101,-0.091449998
46063,"Harding, South Dakota",,,,
46065,"Hughes, South Dakota",1.08526,1.27558,0.088909999,-0.18505999
46067,"Hutchinson, South Dakota",1.20708,1.36167,-0.0113,-0.11704
46069,"Hyde, South Dakota",1.09619,1.3377399,-0.037689999,-0.10549
46071,"Jackson, South Dakota",0.51144999,1.04697,0.031640001,-0.19505
46073,"Jerauld, South Dakota",1.16219,1.30707,0.01184,-0.1171
46075,"Jones, South Dakota",,,,
46077,"Kingsbury, South Dakota",1.25173,1.3502001,-0.01366,-0.10218
46079,"Lake, South Dakota",1.2312,1.37076,0.077040002,-0.11981
46081,"Lawrence, South Dakota",1.0634,1.21015,0.024739999,-0.14659999
46083,"Lincoln, South Dakota",1.3481899,1.47379,0.00507,-0.10981
46085,"Lyman, South Dakota",0.58451003,1.21121,0.067649998,-0.10143
46087,"McCook, South Dakota",1.2710299,1.38177,-0.033429999,-0.11236
46089,"McPherson, South Dakota",1.16445,1.27829,-0.021539999,-0.13708
46091,"Marshall, South Dakota",1.0501,1.4275399,0.0113,-0.08828
46093,"Meade, South Dakota",1.06318,1.20583,0.02444,-0.15293001
46095,"Mellette, South Dakota",,,,
46097,"Miner, South Dakota",1.26001,1.36394,-0.031890001,-0.11565
46099,"Minnehaha, South Dakota",1.15022,1.39511,0.13106,-0.14228
46101,"Moody, South Dakota",1.0446,1.29409,0.11146,-0.13428999
46102,"Shannon, South Dakota",0.2552,0.68142003,0.087379999,-0.15525
46103,"Pennington, South Dakota",0.92448997,1.17475,0.13572,-0.17141999
46105,"Perkins, South Dakota",1.0765899,1.16441,-0.02691,-0.15749
46107,"Potter, South Dakota",1.1956,1.30431,-0.076470003,-0.12059
46109,"Roberts, South Dakota",0.75282001,1.11991,0.11358,-0.17399
46111,"Sanborn, South Dakota",1.07886,1.2724,-0.054839998,-0.11793
46115,"Spink, South Dakota",1.1736701,1.33596,0.032249998,-0.12016
46117,"Stanley, South Dakota",1.26597,1.3537101,0.083410002,-0.10624
46119,"Sully, South Dakota",,,,
46121,"Todd, South Dakota",0.28165001,0.76572001,0.33456999,-0.18999
46123,"Tripp, South Dakota",0.84280998,1.03948,0.02379,-0.21635
46125,"Turner, South Dakota",1.27201,1.39053,-0.00256,-0.10463
46127,"Union, South Dakota",1.2444299,1.36992,-0.02177,-0.14683001
46129,"Walworth, South Dakota",0.99268001,1.22596,0.10417,-0.19407
46135,"Yankton, South Dakota",0.99985999,1.18297,0.090109996,-0.18504
46137,"Ziebach, South Dakota",,,,
47001,"Anderson, Tennessee",0.82657999,1.02994,0.084959999,-0.22428
47003,"Bedford, Tennessee",0.71237999,0.91053998,0.12698001,-0.24242
47005,"Benton, Tennessee",0.62515002,0.78127998,0.039299998,-0.25042999
47007,"Bledsoe, Tennessee",0.63439,0.77424997,0.099480003,-0.29166001
47009,"Blount, Tennessee",0.88459998,1.08909,0.077699997,-0.22513001
47011,"Bradley, Tennessee",0.79005998,1.01028,0.10242,-0.2481
47013,"Campbell, Tennessee",0.64974999,0.76084,0.070090003,-0.30734
47015,"Cannon, Tennessee",0.78047001,0.95762002,0.061280001,-0.2123
47017,"Carroll, Tennessee",0.76559001,0.89472997,0.057119999,-0.25737
47019,"Carter, Tennessee",0.59311998,0.78623998,0.06504,-0.25718001
47021,"Cheatham, Tennessee",0.89989001,1.1368901,0.04146,-0.18262
47023,"Chester, Tennessee",0.88626999,1.02246,0.04961,-0.25508001
47025,"Claiborne, Tennessee",0.58266997,0.86409003,0.024739999,-0.23751
47027,"Clay, Tennessee",0.64893001,0.76476002,-0.01114,-0.21884
47029,"Cocke, Tennessee",0.55230999,0.69977999,0.067290001,-0.31636
47031,"Coffee, Tennessee",0.81015998,0.95343,0.1217,-0.27293
47033,"Crockett, Tennessee",0.73589998,0.89315999,0.028650001,-0.32117
47035,"Cumberland, Tennessee",0.63256001,0.79121,0.07931,-0.25683001
47037,"Davidson, Tennessee",0.92201,1.35585,0.17325,-0.14746
47039,"Decatur, Tennessee",0.73664999,0.84698999,-0.020199999,-0.2904
47041,"DeKalb, Tennessee",0.71164,0.85499001,0.096809998,-0.26912999
47043,"Dickson, Tennessee",0.80760002,0.97587001,0.072059996,-0.25003999
47045,"Dyer, Tennessee",0.78803003,0.89339,0.13752,-0.29598001
47047,"Fayette, Tennessee",0.83315998,1.19059,-0.028419999,-0.20682999
47049,"Fentress, Tennessee",0.52930999,0.66465002,0.02506,-0.29337001
47051,"Franklin, Tennessee",0.81151003,0.97460002,0.086879998,-0.23196
47053,"Gibson, Tennessee",0.78570002,0.97180003,0.055259999,-0.2476
47055,"Giles, Tennessee",0.76397002,0.87462997,0.069499999,-0.26473999
47057,"Grainger, Tennessee",0.76213998,0.86198002,0.080700003,-0.22603001
47059,"Greene, Tennessee",0.67650998,0.85161,0.11055,-0.26166999
47061,"Grundy, Tennessee",0.5977,0.76633,-0.0042,-0.28679001
47063,"Hamblen, Tennessee",0.66079003,0.83844,0.092260003,-0.31955999
47065,"Hamilton, Tennessee",0.86434001,1.19253,0.085660003,-0.18509001
47067,"Hancock, Tennessee",0.64468998,0.70433003,0.086680003,-0.17798001
47069,"Hardeman, Tennessee",0.62755001,0.76778001,0.01891,-0.27706
47071,"Hardin, Tennessee",0.77590001,0.86773998,0.048769999,-0.33666
47073,"Hawkins, Tennessee",0.63365,0.76533997,0.079120003,-0.2825
47075,"Haywood, Tennessee",0.58243001,0.73847002,0.12407,-0.34345999
47077,"Henderson, Tennessee",0.81844002,0.90390003,0.064900003,-0.27873999
47079,"Henry, Tennessee",0.66864997,0.83411002,0.064719997,-0.31474
47081,"Hickman, Tennessee",0.78114998,0.92635,0.082690001,-0.21603
47083,"Houston, Tennessee",0.71573001,0.80861998,0.00682,-0.24561
47085,"Humphreys, Tennessee",0.68305999,0.81542999,0.044349998,-0.24041
47087,"Jackson, Tennessee",0.67571998,0.84636998,0.063060001,-0.1988
47089,"Jefferson, Tennessee",0.7597,0.90407997,0.050900001,-0.26326999
47091,"Johnson, Tennessee",0.58038002,0.74840999,0.064110003,-0.27271
47093,"Knox, Tennessee",0.91793001,1.22284,0.076640002,-0.17237
47095,"Lake, Tennessee",0.65938002,0.78948998,0.10074,-0.31845
47097,"Lauderdale, Tennessee",0.60553998,0.73399001,0.087980002,-0.33328
47099,"Lawrence, Tennessee",0.69793999,0.79426003,0.00991,-0.3276
47101,"Lewis, Tennessee",0.75984001,0.86072999,0.042939998,-0.27476999
47103,"Lincoln, Tennessee",0.71451002,0.83736998,0.060559999,-0.29074001
47105,"Loudon, Tennessee",0.80602998,1.02552,0.072310001,-0.22826
47107,"McMinn, Tennessee",0.74258,0.87311,0.075439997,-0.29712
47109,"McNairy, Tennessee",0.78625,0.88629001,0.01243,-0.30169001
47111,"Macon, Tennessee",0.66447002,0.78187001,0.04171,-0.31273001
47113,"Madison, Tennessee",0.71376997,0.95321,0.15312999,-0.28985
47115,"Marion, Tennessee",0.71999002,0.83811003,0.02165,-0.25598001
47117,"Marshall, Tennessee",0.80125999,1.01871,0.078220002,-0.17459001
47119,"Maury, Tennessee",0.8222,1.21122,0.097690001,-0.17891
47121,"Meigs, Tennessee",0.72627997,0.86610001,0.097920001,-0.23568
47123,"Monroe, Tennessee",0.66180003,0.79435003,0.062919997,-0.26104999
47125,"Montgomery, Tennessee",0.94259,1.0978,0.071220003,-0.15409
47127,"Moore, Tennessee",0.88077998,0.95526999,-0.057969999,-0.25587001
47129,"Morgan, Tennessee",0.68553001,0.81063998,0.01485,-0.22955
47131,"Obion, Tennessee",0.69655001,0.87393999,0.078450002,-0.31005999
47133,"Overton, Tennessee",0.74312001,0.87379003,0.024739999,-0.20359001
47135,"Perry, Tennessee",0.64033002,0.73826998,-0.039269999,-0.29278001
47137,"Pickett, Tennessee",0.66916001,0.80829,0.02623,-0.20185
47139,"Polk, Tennessee",0.73416001,0.84193999,0.03875,-0.23441
47141,"Putnam, Tennessee",0.80045998,0.99135,0.065509997,-0.24541
47143,"Rhea, Tennessee",0.66872001,0.81083,0.10322,-0.31488001
47145,"Roane, Tennessee",0.81020999,0.94134003,0.083920002,-0.22846
47147,"Robertson, Tennessee",0.89569002,1.1088901,0.077249996,-0.21031
47149,"Rutherford, Tennessee",0.94397998,1.16343,0.043779999,-0.1639
47151,"Scott, Tennessee",0.54738998,0.67495,-0.016100001,-0.30091
47153,"Sequatchie, Tennessee",0.84056997,0.91543001,0.086589999,-0.22799
47155,"Sevier, Tennessee",0.71473998,0.91904998,0.052829999,-0.26124999
47157,"Shelby, Tennessee",0.59968001,1.1579601,0.10749,-0.15196
47159,"Smith, Tennessee",0.75190997,0.90595001,0.02352,-0.23413
47161,"Stewart, Tennessee",0.79360998,0.90283,-0.02159,-0.22284
47163,"Sullivan, Tennessee",0.76577002,0.93186003,0.092440002,-0.29234001
47165,"Sumner, Tennessee",0.94155002,1.21243,0.077909999,-0.18505
47167,"Tipton, Tennessee",0.91600001,1.06709,0.05923,-0.22606
47169,"Trousdale, Tennessee",0.84728998,0.95604998,0.098729998,-0.17472
47171,"Unicoi, Tennessee",0.65385002,0.81901002,0.040550001,-0.27270001
47173,"Union, Tennessee",0.62853003,0.78876001,0.086520001,-0.24339999
47175,"Van Buren, Tennessee",0.64323002,0.81620997,0.072570004,-0.18742999
47177,"Warren, Tennessee",0.67409003,0.81189001,0.12309,-0.33451
47179,"Washington, Tennessee",0.83512998,1.04407,0.079410002,-0.25169
47181,"Wayne, Tennessee",0.72389001,0.81616998,0.02259,-0.27042001
47183,"Weakley, Tennessee",0.85237998,1.0099601,0.052669998,-0.22397999
47185,"White, Tennessee",0.67973,0.82802999,0.11173,-0.27952999
47187,"Williamson, Tennessee",1.24694,1.45136,0.016410001,-0.13902
47189,"Wilson, Tennessee",0.94998997,1.26387,0.05491,-0.18602
48001,"Anderson, Texas",0.70446998,0.86773998,0.04659,-0.26113001
48003,"Andrews, Texas",1.33926,1.3470401,0.15824001,-0.098240003
48005,"Angelina, Texas",0.80399001,0.95081002,0.11374,-0.27757001
48007,"Aransas, Texas",0.80111003,1.00604,0.1041,-0.23019999
48009,"Archer, Texas",1.0969599,1.21008,0.04304,-0.17634
48011,"Armstrong, Texas",1.1057,1.24387,-0.096160002,-0.16748001
48013,"Atascosa, Texas",0.87511998,0.98299998,0.094489999,-0.17889
48015,"Austin, Texas",1.14299,1.25551,0.1168,-0.14985999
48017,"Bailey, Texas",0.77389002,0.92662001,0.21043,-0.25914001
48019,"Bandera, Texas",0.96037,1.11344,0.05785,-0.17885
48021,"Bastrop, Texas",1.00713,1.1808,0.15550999,-0.1258
48023,"Baylor, Texas",1.09682,1.18255,0.06143,-0.15866999
48025,"Bee, Texas",0.71240997,0.83552003,0.11594,-0.26993999
48027,"Bell, Texas",0.90525001,1.09192,0.11715,-0.14384
48029,"Bexar, Texas",0.82982999,1.1714,0.06696,-0.14820001
